experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,rep,seed
18,0.001,10000,3600,128,80,40,forward,LSTM,15,18,33
29,0.001,10000,3600,128,80,40,forward,LSTM,15,29,76
64,0.001,10000,3600,128,80,40,forward,LSTM,15,64,79
92,0.001,10000,3600,128,80,40,forward,LSTM,15,92,21
72,0.001,10000,3600,128,80,40,forward,LSTM,15,72,49
87,0.001,10000,3600,128,80,40,forward,LSTM,15,87,12
5,0.001,10000,3600,128,80,40,forward,LSTM,15,5,93
15,0.001,10000,3600,128,80,40,forward,LSTM,15,15,30
12,0.001,10000,3600,128,80,40,forward,LSTM,15,12,78
17,0.001,10000,3600,128,80,40,forward,LSTM,15,17,24
61,0.001,10000,3600,128,80,40,forward,LSTM,15,61,31
76,0.001,10000,3600,128,80,40,forward,LSTM,15,76,20
9,0.001,10000,3600,128,80,40,forward,LSTM,15,9,95
78,0.001,10000,3600,128,80,40,forward,LSTM,15,78,72
80,0.001,10000,3600,128,80,40,forward,LSTM,15,80,25
7,0.001,10000,3600,128,80,40,forward,LSTM,15,7,73
33,0.001,10000,3600,128,80,40,forward,LSTM,15,33,68
6,0.001,10000,3600,128,80,40,forward,LSTM,15,6,16
37,0.001,10000,3600,128,80,40,forward,LSTM,15,37,56
74,0.001,10000,3600,128,80,40,forward,LSTM,15,74,98
79,0.001,10000,3600,128,80,40,forward,LSTM,15,79,77
1,0.001,10000,3600,128,80,40,forward,LSTM,15,1,86
45,0.001,10000,3600,128,80,40,forward,LSTM,15,45,15
28,0.001,10000,3600,128,80,40,forward,LSTM,15,28,82
60,0.001,10000,3600,128,80,40,forward,LSTM,15,60,10
52,0.001,10000,3600,128,80,40,forward,LSTM,15,52,0
25,0.001,10000,3600,128,80,40,forward,LSTM,15,25,48
39,0.001,10000,3600,128,80,40,forward,LSTM,15,39,74
97,0.001,10000,3600,128,80,40,forward,LSTM,15,97,64
44,0.001,10000,3600,128,80,40,forward,LSTM,15,44,4
16,0.001,10000,3600,128,80,40,forward,LSTM,15,16,22
55,0.001,10000,3600,128,80,40,forward,LSTM,15,55,50
83,0.001,10000,3600,128,80,40,forward,LSTM,15,83,46
49,0.001,10000,3600,128,80,40,forward,LSTM,15,49,5
22,0.001,10000,3600,128,80,40,forward,LSTM,15,22,3
70,0.001,10000,3600,128,80,40,forward,LSTM,15,70,19
47,0.001,10000,3600,128,80,40,forward,LSTM,15,47,40
4,0.001,10000,3600,128,80,40,forward,LSTM,15,4,75
82,0.001,10000,3600,128,80,40,forward,LSTM,15,82,81
94,0.001,10000,3600,128,80,40,forward,LSTM,15,94,9
53,0.001,10000,3600,128,80,40,forward,LSTM,15,53,34
66,0.001,10000,3600,128,80,40,forward,LSTM,15,66,32
26,0.001,10000,3600,128,80,40,forward,LSTM,15,26,6
84,0.001,10000,3600,128,80,40,forward,LSTM,15,84,39
31,0.001,10000,3600,128,80,40,forward,LSTM,15,31,80
63,0.001,10000,3600,128,80,40,forward,LSTM,15,63,57
8,0.001,10000,3600,128,80,40,forward,LSTM,15,8,54
75,0.001,10000,3600,128,80,40,forward,LSTM,15,75,69
98,0.001,10000,3600,128,80,40,forward,LSTM,15,98,47
57,0.001,10000,3600,128,80,40,forward,LSTM,15,57,35
71,0.001,10000,3600,128,80,40,forward,LSTM,15,71,29
99,0.001,10000,3600,128,80,40,forward,LSTM,15,99,44
86,0.001,10000,3600,128,80,40,forward,LSTM,15,86,58
96,0.001,10000,3600,128,80,40,forward,LSTM,15,96,67
69,0.001,10000,3600,128,80,40,forward,LSTM,15,69,89
24,0.001,10000,3600,128,80,40,forward,LSTM,15,24,45
30,0.001,10000,3600,128,80,40,forward,LSTM,15,30,60
13,0.001,10000,3600,128,80,40,forward,LSTM,15,13,13
40,0.001,10000,3600,128,80,40,forward,LSTM,15,40,1
56,0.001,10000,3600,128,80,40,forward,LSTM,15,56,11
68,0.001,10000,3600,128,80,40,forward,LSTM,15,68,14
95,0.001,10000,3600,128,80,40,forward,LSTM,15,95,96
81,0.001,10000,3600,128,80,40,forward,LSTM,15,81,37
19,0.001,10000,3600,128,80,40,forward,LSTM,15,19,8
38,0.001,10000,3600,128,80,40,forward,LSTM,15,38,63
91,0.001,10000,3600,128,80,40,forward,LSTM,15,91,36
54,0.001,10000,3600,128,80,40,forward,LSTM,15,54,28
32,0.001,10000,3600,128,80,40,forward,LSTM,15,32,90
51,0.001,10000,3600,128,80,40,forward,LSTM,15,51,59
85,0.001,10000,3600,128,80,40,forward,LSTM,15,85,65
11,0.001,10000,3600,128,80,40,forward,LSTM,15,11,92
89,0.001,10000,3600,128,80,40,forward,LSTM,15,89,70
90,0.001,10000,3600,128,80,40,forward,LSTM,15,90,87
36,0.001,10000,3600,128,80,40,forward,LSTM,15,36,18
65,0.001,10000,3600,128,80,40,forward,LSTM,15,65,85
88,0.001,10000,3600,128,80,40,forward,LSTM,15,88,88
41,0.001,10000,3600,128,80,40,forward,LSTM,15,41,61
14,0.001,10000,3600,128,80,40,forward,LSTM,15,14,7
27,0.001,10000,3600,128,80,40,forward,LSTM,15,27,99
50,0.001,10000,3600,128,80,40,forward,LSTM,15,50,91
20,0.001,10000,3600,128,80,40,forward,LSTM,15,20,43
46,0.001,10000,3600,128,80,40,forward,LSTM,15,46,17
67,0.001,10000,3600,128,80,40,forward,LSTM,15,67,84
35,0.001,10000,3600,128,80,40,forward,LSTM,15,35,27
62,0.001,10000,3600,128,80,40,forward,LSTM,15,62,66
2,0.001,10000,3600,128,80,40,forward,LSTM,15,2,2
59,0.001,10000,3600,128,80,40,forward,LSTM,15,59,52
23,0.001,10000,3600,128,80,40,forward,LSTM,15,23,71
58,0.001,10000,3600,128,80,40,forward,LSTM,15,58,23
43,0.001,10000,3600,128,80,40,forward,LSTM,15,43,41
10,0.001,10000,3600,128,80,40,forward,LSTM,15,10,53
0,0.001,10000,3600,128,80,40,forward,LSTM,15,0,26
73,0.001,10000,3600,128,80,40,forward,LSTM,15,73,97
21,0.001,10000,3600,128,80,40,forward,LSTM,15,21,62
77,0.001,10000,3600,128,80,40,forward,LSTM,15,77,94
42,0.001,10000,3600,128,80,40,forward,LSTM,15,42,42
3,0.001,10000,3600,128,80,40,forward,LSTM,15,3,55
93,0.001,10000,3600,128,80,40,forward,LSTM,15,93,83
48,0.001,10000,3600,128,80,40,forward,LSTM,15,48,38
34,0.001,10000,3600,128,80,40,forward,LSTM,15,34,51
